CodMunIBGE,Habitantes 2010
3554953,5930
4107900,5931
4107736,5932
3146552,5934
3117876,5936
2509396,5939
3127073,5940
3548104,5943
4109658,5955
4114708,5956
2111672,5957
2805208,5973
4111100,5979
2309904,5986
3512100,5994
2101939,5996
3122900,6001
3542008,6004
4202131,6004
4209508,6004
2209401,6007
2514305,6010
4307559,6011
4314076,6011
4128807,6012
2201739,6015
2401859,6016
3146206,6016
3521101,6016
4310439,6016
1101484,6018
2301802,6026
2209104,6027
3167400,6027
2413003,6028
1710706,6029
2109056,6030
2506608,6031
1505551,6033
2202752,6036
4216255,6036
4125357,6041
5106281,6042
4309654,6043
3120151,6047
4316956,6053
3170750,6054
3157658,6055
5204805,6060
4109757,6066
3141702,6069
2510204,6070
3155207,6070
1200054,6072
4300703,6073
3101631,6075
2111631,6090
2209203,6096
4122701,6096
3534104,6097
4107405,6103
2207777,6105
4200507,6110
4303707,6117
5219902,6120
3129202,6121
2709004,6122
3503109,6123
2311231,6126
4212700,6131
3129103,6137
3134301,6139
2104701,6140
1506906,6141
3105707,6143
4214409,6143
3103751,6144
3129657,6155
2502607,6156
2209906,6157
3101201,6162
3543501,6163
4315156,6163
5211701,6164
2509156,6173
2910776,6184
4311254,6185
3130705,6190
4214508,6192
2201945,6193
4108908,6197
2502904,6198
2505238,6202
3152600,6213
4119202,6215
2304608,6218
4203105,6219
2206050,6220
4206108,6223
2406205,6227
2502151,6227
4312450,6227
2210938,6229
3138674,6234
2412708,6235
2515906,6238
2804706,6238
3165404,6241
5204854,6241
1718758,6254
4127882,6256
3143807,6257
3161700,6264
4115309,6268
2209005,6273
5007802,6287
4219200,6290
3169505,6293
5103858,6293
4320503,6294
2201770,6296
2209708,6298
3113602,6298
5211305,6300
3547908,6304
1100031,6313
2903102,6313
1701903,6317
3514700,6318
3139250,6321
5207600,6322
3141504,6331
3536406,6339
3144359,6341
4218509,6341
5004908,6341
4313102,6342
4300638,6353
4124608,6354
2900900,6357
4113254,6360
1707108,6363
4319307,6364
2109239,6374
3519253,6376
4100202,6376
4200804,6380
3202009,6397
3138682,6400
2803708,6401
4305124,6402
3518107,6404
4210407,6404
3150604,6406
4108320,6418
3519204,6419
2205573,6422
3130556,6424
4208005,6426
2100550,6431
5106000,6436
5214051,6438
2903300,6453
3109451,6453
3170578,6461
4321477,6461
3138005,6465
3131604,6467
2501203,6470
2513208,6471
2918555,6474
3161205,6483
3138104,6484
3548203,6486
4125753,6491
5005251,6491
2403202,6492
3108503,6497
2206902,6498
2206670,6499
3107505,6501
2106201,6510
4125407,6511
4128708,6513
5220686,6514
2101731,6524
3118205,6526
4301701,6529
4112207,6532
4304309,6535
4303608,6542
3146701,6545
3116308,6547
3159357,6547
4305702,6552
3163508,6553
4218608,6553
4103040,6554
4103206,6561
5221197,6561
3128600,6565
4300901,6565
2203404,6569
3154150,6569
4302204,6574
1200328,6577
2413508,6581
2504504,6584
3542701,6587
3526605,6590
5108907,6590
2210201,6591
3524204,6592
3505104,6593
2701357,6598
1718865,6599
3126000,6600
2201408,6607
3553906,6607
5001508,6609
4113007,6610
2505600,6616
4310405,6618
4108700,6625
4212254,6627
2507804,6643
2922755,6648
3165206,6655
2707800,6656
2207207,6657
2513158,6658
2200608,6672
4308003,6672
2927804,6673
3148756,6673
2203354,6675
3532306,6678
3164308,6686
4212304,6692
1717503,6694
