date,IDHM 2010,CodMunIBGE
2010-01-01,0.536,2210623
2010-01-01,0.562,2210631
2010-01-01,0.581,2210656
2010-01-01,0.575,2210706
2010-01-01,0.627,2210805
2010-01-01,0.561,2210904
2010-01-01,0.586,2210938
2010-01-01,0.501,2210953
2010-01-01,0.579,2210979
2010-01-01,0.751,2211001
2010-01-01,0.577,2211100
2010-01-01,0.631,2211209
2010-01-01,0.647,2211308
2010-01-01,0.553,2211357
2010-01-01,0.571,2211407
2010-01-01,0.503,2211506
2010-01-01,0.565,2211605
2010-01-01,0.544,2211704
2010-01-01,0.628,2300101
2010-01-01,0.606,2300150
2010-01-01,0.601,2300200
2010-01-01,0.595,2300309
2010-01-01,0.569,2300408
2010-01-01,0.6,2300507
2010-01-01,0.602,2300606
2010-01-01,0.601,2300705
2010-01-01,0.606,2300754
2010-01-01,0.599,2300804
2010-01-01,0.618,2300903
2010-01-01,0.641,2301000
2010-01-01,0.655,2301109
2010-01-01,0.615,2301208
2010-01-01,0.59,2301257
2010-01-01,0.564,2301307
2010-01-01,0.622,2301406
2010-01-01,0.618,2301505
2010-01-01,0.6,2301604
2010-01-01,0.605,2301703
2010-01-01,0.627,2301802
2010-01-01,0.606,2301851
2010-01-01,0.683,2301901
2010-01-01,0.616,2301950
2010-01-01,0.599,2302008
2010-01-01,0.571,2302057
2010-01-01,0.619,2302107
2010-01-01,0.638,2302206
2010-01-01,0.623,2302305
2010-01-01,0.598,2302404
2010-01-01,0.647,2302503
2010-01-01,0.62,2302602
2010-01-01,0.63,2302701
2010-01-01,0.612,2302800
2010-01-01,0.611,2302909
2010-01-01,0.592,2303006
2010-01-01,0.596,2303105
