IDHM 2010,CodMunIBGE
0.548,2500577
0.582,2500601
0.608,2500700
0.606,2500734
0.578,2500775
0.549,2500809
0.548,2500908
0.567,2501005
0.594,2501104
0.562,2501153
0.608,2501203
0.548,2501302
0.609,2501351
0.581,2501401
0.568,2501500
0.558,2501534
0.567,2501575
0.562,2501609
0.572,2501708
0.649,2501807
0.592,2501906
0.578,2502003
0.558,2502052
0.599,2502102
0.649,2502151
0.597,2502201
0.592,2502300
0.574,2502409
0.607,2502508
0.61,2502607
0.558,2502706
0.597,2502805
0.619,2502904
0.602,2503001
0.611,2503100
0.748,2503209
0.587,2503308
0.596,2503407
0.564,2503506
0.523,2503555
0.592,2503605
0.679,2503704
0.55,2503753
0.568,2503803
0.567,2503902
0.72,2504009
0.533,2504033
0.585,2504074
0.603,2504108
0.514,2504157
0.574,2504207
0.64,2504306
0.623,2504355
0.592,2504405
0.594,2504504
0.618,2504603
0.581,2504702
0.592,2504801
0.641,2504850
0.552,2504900
0.566,2505006
0.591,2505105
0.57,2505204
0.524,2505238
0.529,2505279
0.606,2505303
0.521,2505352
0.58,2505402
0.566,2505501
0.593,2505600
0.545,2505709
0.603,2505808
0.595,2505907
0.623,2506004
0.56,2506103
0.641,2506202
0.513,2506251
0.673,2506301
0.556,2506400
0.625,2506509
0.586,2506608
0.557,2506707
0.592,2506806
0.613,2506905
0.615,2507002
0.564,2507101
0.562,2507200
0.558,2507309
0.603,2507408
0.763,2507507
0.579,2507606
0.567,2507705
0.617,2507804
0.548,2507903
0.57,2508000
0.563,2508109
0.57,2508208
0.627,2508307
0.533,2508406
0.566,2508505
0.583,2508554
0.583,2508604
0.542,2508703
0.642,2508802
0.585,2508901
0.543,2509008
0.529,2509057
0.548,2509107
0.608,2509156
0.567,2509206
0.536,2509305
0.541,2509339
0.565,2509370
0.572,2509396
0.574,2509404
0.59,2509503
0.587,2509602
0.628,2509701
0.565,2509800
0.541,2509909
0.562,2510006
0.601,2510105
0.573,2510204
0.595,2510303
0.572,2510402
0.603,2510501
0.614,2510600
0.584,2510659
0.62,2510709
0.701,2510808
0.587,2510907
0.599,2511004
0.574,2511103
0.59,2511202
0.621,2511301
0.608,2511400
0.579,2511509
0.56,2511608
0.564,2511707
0.595,2511806
0.57,2511905
0.591,2512002
0.525,2512036
0.612,2512077
0.634,2512101
0.608,2512200
0.606,2512309
0.617,2512408
0.608,2512507
0.622,2512606
0.607,2512705
0.542,2512721
0.574,2512747
0.553,2512754
0.555,2512762
0.594,2512788
0.568,2512804
0.585,2512903
0.563,2513000
0.568,2513109
0.525,2513158
0.618,2513208
0.609,2513307
0.572,2513356
0.682,2513406
0.535,2513505
0.594,2513604
0.622,2513653
0.627,2513703
0.627,2513802
0.6,2513851
0.58,2513901
0.606,2513927
0.589,2513943
0.548,2513968
0.58,2513984
0.622,2514008
0.552,2514107
0.53,2514206
0.565,2514305
0.577,2514404
0.541,2514453
0.591,2514503
0.565,2514552
0.578,2514602
0.581,2514651
0.617,2514701
0.556,2514800
0.641,2514909
0.548,2515005
0.594,2515104
0.581,2515203
0.569,2515302
0.555,2515401
0.628,2515500
0.626,2515609
0.586,2515708
0.57,2515807
0.547,2515906
0.621,2515930
0.573,2515971
0.595,2516003
0.616,2516102
0.573,2516151
0.668,2516201
0.627,2516300
0.551,2516409
0.578,2516508
0.586,2516607
0.605,2516706
0.581,2516755
0.609,2516805
0.636,2516904
0.584,2517001
0.707,2517100
0.571,2517209
0.623,2517407
0.679,2600054
0.657,2600104
0.588,2600203
0.592,2600302
0.553,2600401
0.526,2600500
0.599,2600609
0.604,2600708
0.598,2600807
0.58,2600906
0.572,2601003
0.592,2601052
0.602,2601102
0.667,2601201
0.577,2601300
0.586,2601409
0.578,2601508
0.642,2601607
0.629,2601706
0.559,2601805
0.606,2601904
0.565,2602001
0.563,2602100
0.602,2602209
0.561,2602308
0.547,2602407
0.574,2602506
0.562,2602605
0.593,2602704
0.527,2602803
0.686,2602902
0.623,2603009
0.579,2603108
0.522,2603207
0.566,2603306
0.571,2603405
0.692,2603454
0.588,2603504
0.606,2603603
