CodMunIBGE,PIB 2010 (R$),VALUE
3509957,28773.601,28773601.0
2503902,28782.716,28782716.0
3136405,28783.96,28783960.0
4315131,28793.858,28793858.0
2206720,28844.0,28844000.0
1703305,28849.247,28849247.0
3513850,28893.461,28893461.0
2513158,28894.554,28894554.0
2110237,28923.114,28923114.0
3163409,28931.887,28931887.0
2307205,28974.605,28974605.0
2922201,28993.852,28993852.0
3169109,29008.096,29008096.0
1712009,29084.035,29084035.0
2909000,29108.155,29108155.0
2505600,29135.367,29135367.0
3126604,29193.923,29193923.0
2105450,29201.352,29201352.0
3157401,29204.741,29204741.0
2406205,29222.0,29222000.0
2806503,29223.808,29223808.0
3138682,29249.047,29249047.0
2502904,29259.092,29259092.0
2111789,29262.055,29262055.0
4310579,29265.802,29265802.0
2103109,29268.355,29268355.0
4206751,29274.788,29274788.0
4322376,29289.488,29289488.0
3100807,29292.395,29292395.0
3167707,29299.276,29299276.0
2907558,29343.978,29343978.0
3117836,29366.925,29366925.0
2206803,29375.894,29375894.0
3547403,29392.726,29392726.0
2405108,29393.536,29393536.0
3132008,29415.116,29415116.0
3160959,29448.622,29448622.0
2508505,29449.672,29449672.0
3120151,29482.886,29482886.0
1705557,29498.631,29498631.0
1503002,29520.56,29520560.0
4300554,29527.274,29527274.0
4117297,29528.42,29528420.0
3138658,29545.235,29545235.0
2200707,29595.307,29595307.0
2703403,29606.707,29606707.0
2801603,29647.413,29647413.0
3503356,29668.037,29668037.0
4215687,29677.385,29677385.0
1710904,29689.05,29689050.0
4311239,29700.745,29700745.0
3555307,29706.283,29706283.0
5221577,29741.289,29741289.0
2505204,29760.072,29760072.0
2207405,29762.527,29762527.0
3549250,29780.446,29780446.0
3164100,29796.109,29796109.0
1712157,29817.434,29817434.0
2308807,29869.399,29869399.0
4318432,29941.973,29941973.0
3129905,29973.221,29973221.0
3159001,29998.402,29998402.0
4306072,30002.008,30002008.0
2507606,30034.302,30034302.0
2201408,30037.886,30037886.0
4204178,30086.59,30086590.0
2405207,30090.011,30090011.0
3501400,30121.479,30121479.0
3106101,30131.042,30131042.0
4109104,30158.712,30158712.0
2412104,30176.493,30176493.0
