CODE,RAW DATE,TERCODIGO,YEAR,NIVNOME,VALUE (Habitante)
POPTOT,2010-01-01T00:00:00-02:00,421560,2010,AMC 91-00,2065.0
POPTOT,2010-01-01T00:00:00-02:00,4215604,2010,Municípios,2065.0
POPTOT,2010-01-01T00:00:00-02:00,4300471,2010,Municípios,2067.0
POPTOT,2010-01-01T00:00:00-02:00,521480,2010,AMC 60-00,2069.0
POPTOT,2010-01-01T00:00:00-02:00,521480,2010,AMC 70-00,2069.0
POPTOT,2010-01-01T00:00:00-02:00,521480,2010,AMC 91-00,2069.0
POPTOT,2010-01-01T00:00:00-02:00,521290,2010,AMC 60-00,2072.0
POPTOT,2010-01-01T00:00:00-02:00,521290,2010,AMC 70-00,2072.0
POPTOT,2010-01-01T00:00:00-02:00,521290,2010,AMC 91-00,2072.0
POPTOT,2010-01-01T00:00:00-02:00,5212907,2010,Municípios,2072.0
POPTOT,2010-01-01T00:00:00-02:00,240480,2010,AMC 70-00,2074.0
POPTOT,2010-01-01T00:00:00-02:00,240480,2010,AMC 91-00,2074.0
POPTOT,2010-01-01T00:00:00-02:00,2517407,2010,Municípios,2075.0
POPTOT,2010-01-01T00:00:00-02:00,2404804,2010,Municípios,2077.0
POPTOT,2010-01-01T00:00:00-02:00,3147808,2010,Municípios,2079.0
POPTOT,2010-01-01T00:00:00-02:00,4318614,2010,Municípios,2082.0
POPTOT,2010-01-01T00:00:00-02:00,314780,2010,AMC 60-00,2084.0
POPTOT,2010-01-01T00:00:00-02:00,314780,2010,AMC 70-00,2084.0
POPTOT,2010-01-01T00:00:00-02:00,354610,2010,AMC 70-00,2084.0
POPTOT,2010-01-01T00:00:00-02:00,314780,2010,AMC 91-00,2084.0
POPTOT,2010-01-01T00:00:00-02:00,354610,2010,AMC 91-00,2084.0
POPTOT,2010-01-01T00:00:00-02:00,3546108,2010,Municípios,2084.0
POPTOT,2010-01-01T00:00:00-02:00,1713700,2010,Municípios,2085.0
POPTOT,2010-01-01T00:00:00-02:00,2500734,2010,Municípios,2088.0
POPTOT,2010-01-01T00:00:00-02:00,351420,2010,AMC 70-00,2096.0
POPTOT,2010-01-01T00:00:00-02:00,351420,2010,AMC 91-00,2096.0
POPTOT,2010-01-01T00:00:00-02:00,3514205,2010,Municípios,2096.0
POPTOT,2010-01-01T00:00:00-02:00,4207858,2010,Municípios,2096.0
POPTOT,2010-01-01T00:00:00-02:00,1721307,2010,Municípios,2097.0
POPTOT,2010-01-01T00:00:00-02:00,4125555,2010,Municípios,2098.0
POPTOT,2010-01-01T00:00:00-02:00,354930,2010,AMC 60-00,2103.0
POPTOT,2010-01-01T00:00:00-02:00,354930,2010,AMC 70-00,2103.0
POPTOT,2010-01-01T00:00:00-02:00,354930,2010,AMC 91-00,2103.0
POPTOT,2010-01-01T00:00:00-02:00,3549300,2010,Municípios,2103.0
POPTOT,2010-01-01T00:00:00-02:00,316490,2010,AMC 70-00,2110.0
POPTOT,2010-01-01T00:00:00-02:00,316490,2010,AMC 91-00,2110.0
POPTOT,2010-01-01T00:00:00-02:00,2210383,2010,Municípios,2110.0
POPTOT,2010-01-01T00:00:00-02:00,3164902,2010,Municípios,2110.0
POPTOT,2010-01-01T00:00:00-02:00,352910,2010,AMC 70-00,2113.0
POPTOT,2010-01-01T00:00:00-02:00,352910,2010,AMC 91-00,2113.0
POPTOT,2010-01-01T00:00:00-02:00,3529104,2010,Municípios,2113.0
POPTOT,2010-01-01T00:00:00-02:00,3532843,2010,Municípios,2114.0
POPTOT,2010-01-01T00:00:00-02:00,4302154,2010,Municípios,2114.0
POPTOT,2010-01-01T00:00:00-02:00,315620,2010,AMC 70-00,2116.0
POPTOT,2010-01-01T00:00:00-02:00,315620,2010,AMC 91-00,2116.0
POPTOT,2010-01-01T00:00:00-02:00,3156205,2010,Municípios,2116.0
POPTOT,2010-01-01T00:00:00-02:00,314570,2010,AMC 60-00,2123.0
POPTOT,2010-01-01T00:00:00-02:00,314570,2010,AMC 70-00,2123.0
POPTOT,2010-01-01T00:00:00-02:00,314570,2010,AMC 91-00,2123.0
POPTOT,2010-01-01T00:00:00-02:00,3145703,2010,Municípios,2123.0
POPTOT,2010-01-01T00:00:00-02:00,4320578,2010,Municípios,2124.0
POPTOT,2010-01-01T00:00:00-02:00,1718899,2010,Municípios,2128.0
POPTOT,2010-01-01T00:00:00-02:00,3527256,2010,Municípios,2128.0
POPTOT,2010-01-01T00:00:00-02:00,4314464,2010,Municípios,2130.0
POPTOT,2010-01-01T00:00:00-02:00,3531001,2010,Municípios,2132.0
POPTOT,2010-01-01T00:00:00-02:00,4202578,2010,Municípios,2132.0
POPTOT,2010-01-01T00:00:00-02:00,353100,2010,AMC 70-00,2134.0
POPTOT,2010-01-01T00:00:00-02:00,353100,2010,AMC 91-00,2134.0
POPTOT,2010-01-01T00:00:00-02:00,4317558,2010,Municípios,2139.0
POPTOT,2010-01-01T00:00:00-02:00,4306130,2010,Municípios,2141.0
POPTOT,2010-01-01T00:00:00-02:00,1703826,2010,Municípios,2148.0
POPTOT,2010-01-01T00:00:00-02:00,4209177,2010,Municípios,2148.0
POPTOT,2010-01-01T00:00:00-02:00,240410,2010,AMC 70-00,2150.0
POPTOT,2010-01-01T00:00:00-02:00,240410,2010,AMC 91-00,2150.0
POPTOT,2010-01-01T00:00:00-02:00,4323358,2010,Municípios,2152.0
POPTOT,2010-01-01T00:00:00-02:00,431545,2010,AMC 91-00,2155.0
POPTOT,2010-01-01T00:00:00-02:00,4315453,2010,Municípios,2155.0
POPTOT,2010-01-01T00:00:00-02:00,431075,2010,AMC 91-00,2156.0
POPTOT,2010-01-01T00:00:00-02:00,4310751,2010,Municípios,2156.0
POPTOT,2010-01-01T00:00:00-02:00,4306429,2010,Municípios,2157.0
POPTOT,2010-01-01T00:00:00-02:00,2404101,2010,Municípios,2159.0
POPTOT,2010-01-01T00:00:00-02:00,317060,2010,AMC 60-00,2163.0
POPTOT,2010-01-01T00:00:00-02:00,317060,2010,AMC 70-00,2163.0
POPTOT,2010-01-01T00:00:00-02:00,317060,2010,AMC 91-00,2163.0
POPTOT,2010-01-01T00:00:00-02:00,3170602,2010,Municípios,2163.0
POPTOT,2010-01-01T00:00:00-02:00,4319711,2010,Municípios,2168.0
POPTOT,2010-01-01T00:00:00-02:00,3533106,2010,Municípios,2177.0
POPTOT,2010-01-01T00:00:00-02:00,353310,2010,AMC 60-00,2178.0
POPTOT,2010-01-01T00:00:00-02:00,353310,2010,AMC 70-00,2178.0
POPTOT,2010-01-01T00:00:00-02:00,353310,2010,AMC 91-00,2178.0
POPTOT,2010-01-01T00:00:00-02:00,314900,2010,AMC 70-00,2187.0
POPTOT,2010-01-01T00:00:00-02:00,314900,2010,AMC 91-00,2187.0
POPTOT,2010-01-01T00:00:00-02:00,3543238,2010,Municípios,2187.0
POPTOT,2010-01-01T00:00:00-02:00,3149002,2010,Municípios,2191.0
POPTOT,2010-01-01T00:00:00-02:00,316730,2010,AMC 70-00,2192.0
POPTOT,2010-01-01T00:00:00-02:00,316730,2010,AMC 91-00,2192.0
POPTOT,2010-01-01T00:00:00-02:00,3167301,2010,Municípios,2192.0
